Tenure,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderCount,DaySinceLastOrder,CashbackAmount,Churn
4,3,6,4,0,3,2,2,2,9,1,1,5,160,1
9,1,8,6,1,4,3,3,2,7,1,1,0,121,1
9,1,30,4,1,4,3,3,2,6,1,1,3,120,1
0,3,15,4,1,4,2,5,2,8,0,1,3,134,1
0,1,12,0,1,3,3,5,2,3,0,1,3,130,1
0,1,22,4,0,5,4,5,2,2,1,6,7,139,1
9,3,11,2,1,3,2,2,0,4,0,1,0,121,1
9,1,6,0,1,3,3,2,0,3,1,2,0,123,1
13,3,9,5,1,4,3,3,0,2,1,1,2,127,1
9,1,31,4,1,5,3,3,2,2,0,1,1,123,1
4,1,18,2,0,3,5,3,0,2,0,15,8,295,1
11,1,6,4,1,4,0,3,2,10,1,1,0,154,1
0,1,11,1,1,3,3,3,2,2,1,2,2,134,1
0,1,15,0,1,4,3,3,0,1,1,1,0,134,1
9,3,15,3,1,4,0,2,2,2,0,4,7,196,1
9,2,12,6,1,3,3,5,1,5,1,1,2,121,1
0,1,12,4,0,4,3,2,2,2,1,1,0,129,1
0,3,11,5,1,4,2,3,2,2,1,1,3,157,1
0,1,13,4,1,5,2,3,2,2,1,1,6,161,1
19,1,20,4,0,3,4,4,0,10,1,4,3,150,1
0,3,12,4,1,5,2,3,0,5,1,7,7,162,1
20,1,29,3,0,3,0,2,0,2,0,15,6,203,1
9,3,28,5,1,3,4,3,2,2,1,1,0,117,1
0,3,26,4,0,5,2,3,0,4,1,2,2,146,1
14,1,14,4,1,5,0,2,2,3,0,1,3,207,1
0,1,15,3,0,3,4,5,2,8,0,1,4,142,1
8,3,6,5,1,3,0,4,0,2,0,1,6,173,0
9,3,12,5,1,3,2,3,0,3,1,4,5,123,0
18,1,14,4,1,3,2,4,1,9,0,1,15,123,0
5,3,14,5,0,3,0,2,2,2,0,3,7,190,0
2,1,6,1,1,3,2,3,0,2,0,1,9,143,0
0,1,13,3,1,4,2,3,0,3,0,1,0,161,0
30,1,15,0,0,4,3,4,0,5,1,1,0,133,0
13,3,10,5,1,4,0,2,0,8,0,2,11,209,0
9,3,8,5,0,3,3,3,0,7,0,1,2,122,0
0,1,14,0,1,3,3,2,0,2,0,2,2,123,0
9,1,15,0,1,3,3,4,1,7,0,2,2,120,0
1,1,27,0,1,3,3,2,0,2,0,1,2,127,0
30,1,30,4,1,2,0,2,1,4,1,1,4,194,0
0,1,14,0,1,4,3,3,1,2,1,1,1,126,0
23,1,17,4,0,3,5,4,2,4,0,4,4,299,0
14,1,14,4,1,3,3,3,1,5,0,1,8,125,0
3,3,11,4,0,3,0,2,0,3,0,7,4,194,0
11,3,6,4,0,4,2,2,2,5,0,1,1,187,0
5,1,12,4,1,3,3,3,2,4,0,1,4,130,0
0,1,23,1,1,3,3,4,0,1,1,1,1,131,0
0,3,14,1,0,5,3,5,2,1,0,1,0,123,1
9,1,9,0,1,3,3,4,2,5,0,7,2,121,0
3,1,15,0,1,3,2,5,1,2,0,6,10,131,0
18,3,10,4,0,3,2,5,1,5,1,1,3,150,0
29,1,14,4,0,3,4,5,1,5,1,2,2,143,0
6,1,14,4,1,3,3,2,2,1,0,1,2,125,0
0,1,8,4,1,4,4,2,2,2,0,1,0,111,1
19,3,6,5,0,3,0,5,1,2,0,15,7,205,0
9,1,15,4,0,3,3,2,2,2,0,2,1,123,0
4,1,18,3,0,3,4,2,0,9,1,1,2,139,0
9,1,33,0,0,3,3,4,2,3,0,1,2,123,0
4,3,26,5,0,3,3,4,2,2,1,1,2,131,1
23,1,6,3,1,4,4,3,0,3,0,1,2,137,0
26,1,19,3,0,2,2,5,1,2,0,1,3,145,0
6,1,20,0,0,3,3,4,0,2,0,1,6,128,0
13,1,10,3,0,3,5,3,0,2,0,9,9,290,0
28,1,20,3,1,2,5,4,2,9,0,2,15,287,0
7,1,8,4,1,4,2,3,0,2,0,1,9,195,0
24,1,9,3,0,3,1,4,2,4,0,2,0,237,0
25,1,6,4,1,4,5,3,0,1,0,11,9,300,0
9,1,15,0,0,3,3,4,2,2,0,1,3,123,0
0,1,29,4,1,4,2,3,0,4,1,1,1,159,1
9,1,13,0,1,2,3,2,1,5,0,2,2,121,0
18,1,8,3,1,4,1,2,0,10,0,11,8,268,0
10,1,27,4,1,2,4,5,0,2,1,1,7,136,0
8,1,8,3,0,3,2,4,2,6,0,1,2,144,0
15,1,27,3,0,3,2,3,1,3,0,1,2,153,0
11,1,8,4,1,3,2,3,0,10,0,1,0,166,0
11,1,35,1,1,3,2,2,0,4,0,1,7,163,0
0,1,6,1,1,4,2,5,0,6,0,2,0,143,0
22,1,24,4,1,3,2,2,1,2,1,1,7,168,0
7,1,16,3,1,3,4,3,1,2,1,2,0,138,0
13,1,25,0,1,3,2,2,0,9,1,3,7,127,0
1,1,35,3,1,3,2,5,0,8,1,1,0,167,1
0,3,33,5,0,3,0,2,0,2,0,1,9,176,1
0,1,14,4,1,2,3,4,1,2,1,2,2,123,0
9,1,24,0,0,3,3,2,2,2,0,1,7,122,0
13,1,15,4,1,4,2,2,0,10,0,1,2,149,0
19,1,6,3,1,3,0,5,1,8,0,1,3,194,0
0,3,10,3,1,5,0,2,0,2,0,9,8,204,1
3,1,6,4,1,4,0,3,2,2,0,5,8,185,0
0,3,26,4,0,3,2,3,2,2,0,1,7,200,0
24,1,14,4,1,4,0,4,0,6,0,4,3,225,0
0,1,14,1,0,3,3,5,2,6,1,1,4,127,1
14,3,12,4,0,3,0,2,2,4,1,2,0,236,0
0,3,32,5,0,4,2,5,2,6,0,1,1,167,1
9,1,6,2,1,3,3,3,2,1,0,1,5,121,1
18,3,12,3,0,4,0,2,2,7,0,12,8,189,0
27,3,9,5,0,3,2,5,0,3,0,1,5,159,0
9,1,11,4,1,3,2,4,2,9,0,3,7,159,0
6,1,14,0,0,4,3,4,0,7,0,1,1,126,0
10,1,17,6,1,3,0,2,1,2,1,1,3,222,0
11,3,9,4,1,3,0,3,1,1,0,5,13,206,0
4,1,6,3,1,5,2,3,0,1,0,1,4,143,0
9,1,9,4,1,4,3,2,0,4,0,1,0,122,0
10,3,10,5,1,3,4,2,1,5,0,5,8,0,0
2,3,6,3,0,3,0,2,0,2,0,4,1,179,0
8,3,6,5,0,3,0,3,2,2,0,1,8,188,0
0,1,14,0,1,4,3,2,2,2,1,1,1,124,1
25,1,8,4,0,4,3,2,2,8,0,2,2,132,0
15,1,10,2,1,3,5,2,0,2,0,11,15,292,0
9,2,12,0,1,3,3,3,0,9,0,2,2,123,0
23,3,6,3,0,3,5,2,1,4,0,1,6,295,0
0,1,14,0,1,3,3,2,0,6,1,1,4,124,1
16,3,22,5,0,3,1,2,0,6,1,2,9,261,0
0,1,8,4,0,3,3,5,0,8,0,1,7,127,1
25,3,8,4,1,4,5,3,2,2,1,15,12,291,0
5,3,10,4,0,3,4,4,0,3,0,1,2,139,0
0,1,6,4,1,4,4,3,2,1,1,1,2,137,1
9,1,6,0,0,3,3,3,1,8,0,1,2,122,0
5,3,32,5,1,3,2,2,0,1,0,2,2,145,0
14,1,25,4,1,3,2,5,1,3,0,1,0,131,0
13,1,30,1,1,3,2,2,1,2,0,4,7,133,0
18,1,6,6,1,2,5,2,0,1,0,1,7,292,0
4,1,9,3,1,3,0,3,1,10,0,2,2,237,0
6,1,11,4,0,4,3,2,0,2,0,1,2,129,0
7,1,8,4,1,4,2,5,0,7,0,5,9,160,0
10,1,6,3,0,4,4,5,0,3,0,1,2,139,0
18,1,13,4,1,2,2,3,0,5,0,1,2,164,0
0,1,16,3,1,3,0,3,1,7,0,1,0,200,1
12,1,8,2,0,3,0,3,2,1,0,11,3,209,0
2,1,14,4,1,3,3,2,2,2,0,1,5,123,0
15,1,23,4,0,2,2,5,2,4,1,1,2,165,0
2,3,26,5,1,3,2,2,1,3,0,1,2,169,0
0,1,6,4,0,3,2,3,0,1,0,1,2,149,0
15,1,14,0,0,4,3,5,1,1,1,7,8,126,0
13,1,8,3,1,3,5,3,1,1,0,3,9,294,0
24,1,6,4,1,3,3,2,0,2,0,1,0,127,0
0,1,35,0,1,4,3,4,2,1,0,1,4,135,1
5,1,13,4,1,2,3,4,0,2,0,1,3,128,0
11,3,8,4,1,4,2,2,0,4,0,7,5,152,0
9,1,8,2,1,4,2,5,2,5,0,1,4,122,0
19,3,8,2,0,5,1,4,0,4,1,7,7,269,0
0,1,8,4,1,3,3,3,2,3,0,1,0,135,1
2,3,8,3,1,4,2,4,0,3,0,1,0,166,0
4,1,29,3,1,4,2,2,0,1,0,7,8,156,0
0,1,11,4,1,2,2,5,1,2,0,1,5,140,0
18,1,26,3,1,3,1,2,0,1,1,2,10,235,0
9,1,12,4,1,3,3,2,0,1,0,10,11,132,0
28,1,6,3,1,3,5,5,2,1,1,4,13,290,0
10,1,35,4,1,3,0,4,0,2,1,9,3,218,1
9,1,15,0,1,3,3,2,0,2,0,1,4,121,0
10,3,12,3,1,3,2,2,0,5,0,1,1,165,0
0,1,9,0,1,4,3,3,2,2,0,1,0,132,0
10,1,6,3,0,3,0,2,1,3,1,2,2,236,0
2,1,28,4,0,2,0,4,1,8,0,6,3,220,0
11,3,13,3,0,2,2,5,1,2,1,7,7,156,0
0,1,6,4,0,3,2,4,1,2,0,1,4,164,0
